1,SANTA MARTA,MEDELLIN,23:51,01:04,57 USD,Main Cabin,Sat Nov 04 15:20:43 COT 2023
2,CARTAGENA,MEDELLIN,23:08,23:57,58 USD,Main Cabin,Sat Nov 04 15:58:31 COT 2023
